Date;Costa_Rica;Lituanie;Colombie;Grece;France;Test_à_con_pour_France;;Suede;Chili;New_Zealand;Suisse;Irlande;Autriche;Italie;Portugal;Luxembourg;Allemagne;Pologne;Tchéquie;Lettonie;EU27_2020;Arabie_Saoudite;EA19;G20;Chine;Afrique_du_sud;Indonesie;Inde;Turquie;Isreal;Belgique;Mexique;Slovaquie;USA;Pays_bas;Bresil;Finlande;Slovenie;Canada;Hongrie;Norvege;OCDE;Japon;Espagne;Danemark;Estonie;Royaume-Uni;Islande;Australie;Corée_du_sud
1981-Q1;;;;-1,9655566;0,437482897;271279,4039;;0,614161716;;;-0,107765661;0,795555584;-0,692629498;-0,570495427;0,447068635;-0,2974888;1,189866492;;;;;;;;;1,242016816;;;;;0,022401138;2,232972009;;1,959429461;-0,963370163;;-0,188211986;;2,20395557;;1,693172147;1,053311607;0,613078575;-0,566186107;0,156386759;;-0,053992264;0,94494664;0,376216412;4,115111914
1981-Q2;;;;-2,213851554;0,661125673;273072,9017;;-0,062042613;;;1,038152504;0,821783501;1,006343855;0,194997387;0,080633903;-0,203181542;-0,249632331;;;;;;;;;2,183854895;;;;;1,457925747;2,591142862;;-0,741063613;-0,025646662;;1,171099643;;1,123957546;;0,414882336;0,216164827;1,223762939;-0,110718617;-0,734481366;;0,226214744;0,93939076;1,545513575;2,415542796
1981-Q3;;;;2,852290237;0,652329577;274854,237;;0,767286781;;;0,517566134;0,886525853;-0,069449232;0,046310302;-0,171095832;0,023791301;0,263433962;;;;;;;;;1,455404361;;;;;-0,428832296;0,522758414;;1,19752521;-0,914354821;;0,495389445;;-0,897752489;;-1,247105515;0,642432793;-0,222416724;0,444684894;0,612585924;;1,093149289;1,036372629;2,010750169;4,162809598
1981-Q4;;;;4,002315248;0,470078051;276146,2664;;-1,122507363;;;-0,436565019;0,884651392;-0,631448105;0,811647168;0,486619108;0,271147484;-0,078831451;;;;;;;;;0,623884852;;;;;0,267780554;1,791577285;;-1,089564087;0,079519186;;0,395334082;;-0,457822775;;-0,025564972;-0,064809538;0,729939813;-0,099841043;0,186660427;;0,122461731;1,048177078;-0,388513409;1,568787799
1982-Q1;;;;-1,929876252;0,887648139;278597,4736;;0,284035978;;;-0,744492301;0,718008324;2,028279293;-0,039523113;2,426235309;0,406863649;0,37467052;;;;;;;;;-0,926379164;;;;;0,133523775;-1,92678781;;-1,553544479;0,93868953;;0,622265435;;-1,176410874;;0,700604368;-0,288364543;1,532500574;0,411598396;1,317726467;;0,178475594;0,79154092;-0,823670881;0,678619182
1982-Q2;;;;-4,11262998;0,663572681;280446,1703;;2,112290025;;;-0,574067716;0,428377027;0,293478183;-0,284173742;-1,344646584;0,416661926;-0,615593473;;;;;;;;;-0,83441653;;;;;0,269399923;0,152382125;;0,456198515;-2,432907407;;0,985602474;;-1,157146926;;0,01010283;0,251889118;0,686562871;0,379789937;1,182819965;;1,052334322;0,324272604;0,901500826;2,348344979
1982-Q3;;;;-1,02351651;0,050707571;280588,3778;;-1,241488584;;;-0,763398653;0,010146713;-0,067676747;-0,053487539;0,459236425;0,333060201;-0,988403773;;;;;;;;;-0,025570619;;;;;0,112673273;-0,719204541;;-0,382299274;1,108880425;;1,086020477;;-0,876514444;;-0,029486364;-0,150946557;0,437004283;0,67320739;1,034116321;;0,244521888;-0,367662187;-0,67241959;2,07400645
1982-Q4;;;;2,824431508;0,509486179;282017,9368;;1,948384164;;;-0,300590204;-0,340809339;-0,174900526;-0,290768813;0,810506112;0,304403446;0,239588883;;;;;;;;;-2,114040461;;;;;-0,633301019;-2,194228615;;0,039946274;-2,100653207;;1,268398883;;-0,922628586;;0,319802929;0,200673552;1,389602027;0,352495983;0,019956408;;0,696929819;-0,961782849;-1,572078679;3,146901625
1983-Q1;;;;-1,198966939;0,57524267;283640,2243;;-1,131415266;;;0,878616947;-0,399075644;1,213791378;0,279768455;0,922716297;0,500740065;0,906269548;;;;;;;;;-1,54348066;;;;;0,018049094;-0,739376103;;1,317847576;0,832132838;;0,116838809;;1,672805457;;1,892555549;0,808079113;0,06306144;0,365463092;0,513853697;;1,852809341;-1,086195675;-1,010023818;4,430468416
1983-Q2;;;;-3,124675415;-0,040571029;283525,1485;;0,78839975;;;0,186722737;-0,160622964;1,308601504;-0,120408691;-0,894686478;0,904903114;1,052777518;;;;;;;;;0,415254266;;;;;0,047185122;-2,01071468;;2,275612439;2,716420716;;1,050322099;;1,965445626;;1,103167097;1,103173188;0,751951743;0,617609594;1,641518999;;0,827410883;-0,728979951;-0,183993824;3,087699961
